name(---This Stage is Property of the Cartel---)

snap(-20,-40,-60)
sky(0,0,0)
fog(130,130,130)
ground(130,130,100)
polys(128,64,0)
fadefrom(3200)
density(1)
nlaps(6)
lightson()

set(47,0,0,0)p
set(10,0,5600,0)
chk(40,0,8400,0)
set(12,1520,11230,-30)
set(12,4560,16890,-30)
set(20,6080,22520,180)
chk(40,6080,19720,0)
set(16,6080,28120,0)
set(34,6080,26444,0)pr
set(16,6080,33720,0)p
set(16,6080,39320,0)p
set(20,6080,44920,0)p
set(10,6080,50520,0)
chk(40,6080,52611,0)
set(14,6080,55070,-90)pt
set(14,2580,55070,0)pt
set(12,1060,50490,-30)p
set(20,-460,44860,0)p
set(16,-460,39260,0)
chk(42,-460,37495,0)
set(16,-460,33660,180)
set(33,-460,36460,180)pr
set(16,-460,28060,180)
set(33,-460,30860,180)pr
set(16,-460,22460,180)p
set(16,-460,16860,180)
set(24,-460,14060,180)
set(34,-460,14839,180)pr
fix(41,0,6000,-2000,0)s
set(10,0,-5600,0)
chk(40,0,-8400,0)
set(12,-1520,-11230,-30)
set(12,-4560,-16890,-30)
set(20,-6080,-22520,0)
chk(40,-6080,-19720,0)
set(16,-6080,-28120,0)
set(16,-6080,-33720,180)
set(34,-6080,-30920,180)
set(16,-6080,-39320,180)
set(20,-6080,-44920,180)
set(10,-6080,-50520,180)
set(14,-6080,-55070,90)
chk(40,-6080,-52883,0)
set(14,-2580,-55070,180)
set(12,-1060,-50490,150)
set(20,460,-44860,180)
set(16,460,-39260,180)
set(16,460,-33660,180)
set(33,460,-36460,180)
set(16,460,-28060,180)
set(33,460,-30860,180)
set(16,460,-22460,180)
set(16,460,-16860,180)
set(24,460,-14060,0)
set(34,460,-15062,0)
fix(41,0,-6000,-2000,0)s

maxl(24,-9600,-55200)
maxb(4,-57600,-7200)
maxr(24,9600,-55200)
maxt(4,57600,-7200)
