name(Basics of Madness)

snap(0,0,0)
sky(191,211,255)
fog(184,195,217)
ground(195,183,146)
polys(145,133,96)
fadefrom(5000)
density(5)
nlaps(3)

set(48,0,0,0)
set(15,0,5600,0)
set(15,0,11200,0)
set(17,0,15750,0)
chk(42,0,14162,0)r
set(15,4550,15750,90)p
set(17,9100,15750,180)
chk(42,7350,15750,90)r
set(15,9100,20300,180)
set(33,9100,18999,180)pr
set(15,9100,25900,180)
set(15,9100,31500,180)p
set(17,9100,36050,-90)
chk(42,9100,34509,0)r
set(21,4550,36050,90)
set(22,1190,36050,90)
set(10,-2170,36050,90)
set(10,-7770,36050,90)
set(29,-3975,36050,-90)pr
set(10,-13370,36050,90)
set(10,-18970,36050,90)p
set(14,-23520,36050,0)
chk(40,-21770,36050,90)r
set(10,-23520,31500,0)
set(10,-23520,25900,0)
set(22,-23520,22540,0)
set(21,-23520,19180,0)
set(17,-23520,14630,180)
chk(42,-23520,16380,0)r
set(17,-27020,14630,90)
set(15,-27020,19180,180)
set(15,-27020,24780,180)
set(15,-27020,30380,180)
set(35,-27020,28346,0)pr
set(15,-27020,35980,180)p
set(17,-27020,40530,-90)
chk(42,-27020,38780,0)r
set(17,-30520,40530,0)
set(15,-30520,35980,0)
set(15,-30520,30380,0)
set(15,-30520,24780,0)
set(35,-30520,28393,0)pr
set(15,-30520,19180,0)
set(15,-30520,13580,0)
set(15,-30520,7980,0)
set(35,-30520,9769,0)pr
set(15,-30520,2380,0)
set(15,-30520,-3220,0)p
set(17,-30520,-7770,90)
chk(42,-30520,-6020,0)r
set(17,-27020,-7770,180)
set(15,-27020,-3220,180)
set(15,-27020,2380,180)p
set(17,-27020,6930,0)
chk(42,-27020,5180,0)r
set(21,-22470,6930,-90)p
set(19,-17920,6930,-90)
chk(42,-19670,6930,90)r
set(18,-17920,2380,0)
set(36,-16110,1882,-90)
set(36,-19730,3842,90)
set(36,-16110,3842,-90)
set(36,-19730,1882,90)
set(18,-17920,-3220,0)
set(36,-16110,-3998,-90)
set(36,-19730,-3998,90)
set(18,-17920,-8820,0)
set(36,-19730,-5958,90)
set(36,-16110,-5958,-90)
set(19,-17920,-13370,90)
chk(40,-17920,-11620,0)r
set(22,-15610,-13370,-90)p
set(10,-12250,-13370,90)p
set(23,-9450,-13370,90)
set(26,-8325,-13370,-90)pr
set(15,0,-11200,180)p
set(15,0,-5600,180)
chk(42,0,-2800,0)r
set(24,0,-14000,180)
set(24,-10421,-778,180)po
set(15,-10421,2022,180)p
set(15,-10421,7622,180)p
set(15,-10421,13222,180)p
set(34,-10421,13348,180)
fix(41,-10421,17000,-1750,0)s
set(34,-10421,20652,0)
set(15,-10421,18822,0)p
set(15,-10421,24422,0)p
set(15,-10421,30022,0)p
set(24,-10421,32822,0)po

maxl(14,-46262,-18637)
maxb(13,-21037,-43862)
maxr(14,16137,-18637)
maxt(13,46162,-43862)
