name(Madness Boulevard)

snap(-25,-20,-20)
sky(50,45,45)
fog(155,150,70)
ground(255,255,255)
polys(130,130,130)
fadefrom(4500)
density(2)
nlaps(1)
lightson()


set(47,0,0,0)
set(10,0,5600,0)
set(10,0,11200,0)
set(10,0,16800,0)
set(14,0,21350,-90)
chk(40,0,19600,0)r
set(10,-4550,21350,90)
set(10,-10150,21350,90)
set(26,-7350,21350,90)
set(10,-15750,21350,90)
set(14,-20300,21350,0)
chk(40,-20300,19600,0)r
set(10,-20300,16800,0)
set(10,-20300,11200,0)
set(10,-20300,5600,0)
set(26,-20300,7800,180)
set(10,-20300,0,0)
set(10,-20300,-5600,0)
set(10,-20300,-11200,0)
set(14,-20300,-15750,90)
chk(40,-20300,-14000,0)r
set(10,-15750,-15750,90)
set(10,-10150,-15750,90)
set(10,-4550,-15750,90)
set(29,-9514,-15750,-90)
set(10,1050,-15750,90)
set(10,6650,-15750,90)
chk(40,5744,-15750,90)r
set(14,11200,-15750,-90)
set(10,11200,-20300,0)
set(10,11200,-25900,0)
set(10,11200,-31500,180)
set(10,11200,-37100,180)
set(14,11200,-41650,90)
chk(40,11200,-39900,0)r
set(10,15750,-41650,90)
set(10,21350,-41650,90)
set(10,26950,-41650,90)
set(14,31500,-41650,180)
chk(40,31500,-39900,0)r
set(10,31500,-37100,180)
set(10,31500,-31500,180)
set(10,31500,-25900,180)
set(10,31500,-20300,180)
set(10,31500,-14700,180)
set(10,31500,-9100,180)
set(10,31500,-3500,180)
set(14,31500,1050,0)
chk(40,31500,-700,0)r
set(10,36050,1050,90)
set(10,41650,1050,90)
set(10,47250,1050,90)
set(14,51800,1050,180)
set(10,51800,5600,180)
chk(40,51800,3836,0)r
set(10,51800,11200,180)
set(23,51800,14000,180)
set(23,51800,36400,0)
chk(40,51800,36400,0)r
set(14,51800,38150,-90)
set(10,47250,38150,90)
set(10,41650,38150,90)
set(10,36050,38150,90)
set(10,30450,38150,90)
set(10,24850,38150,90)
set(10,19250,38150,90)
set(10,13650,38150,90)
set(14,9100,38150,0)
chk(40,10850,38150,90)r
set(10,9100,33600,0)
set(10,9100,28000,0)
set(10,9100,22400,0)
set(10,9100,16800,0)
set(10,9100,11200,0)
set(10,9100,5600,0)
set(23,9100,2800,0)
set(23,9100,-8400,0)
set(23,9100,-25200,180)
set(26,11200,-23700,180)
set(10,9100,-28000,180)
set(10,9100,-33600,180)
set(10,9100,-39200,180)
set(14,9100,-43750,90)
set(10,13650,-43750,90)
set(10,19250,-43750,90)
set(26,19150,-41650,-90)
set(26,17050,-43750,-90)
set(10,24850,-43750,90)
set(10,30450,-43750,90)
set(14,35000,-43750,180)
set(10,35000,-39200,180)
set(10,35000,-33600,180)
set(10,35000,-28000,180)
set(29,31500,-30864,0)
set(10,35000,-22400,180)
set(29,35000,-27364,0)
set(10,35000,-16800,180)
set(10,35000,-11200,180)
set(10,35000,-5600,180)
set(14,35000,-1050,0)
set(10,39550,-1050,90)
set(10,45150,-1050,90)
set(10,50750,-1050,90)
set(14,55300,-1050,180)
set(10,55300,3500,180)
set(10,55300,9100,180)
set(10,55300,14700,180)
set(31,55300,9490,0)
set(10,55300,20300,180)
set(31,51800,17309,0)
set(10,55300,25900,0)
set(10,55300,31500,0)
set(10,55300,37100,0)
set(14,55300,41650,-90)
set(10,50750,41650,-90)
set(10,45150,41650,-90)
set(10,39550,41650,-90)
set(10,33950,41650,-90)
set(10,28350,41650,-90)
set(26,31150,41650,90)
set(10,22750,41650,-90)
set(10,17150,41650,-90)
set(10,11550,41650,-90)
set(14,7000,41650,0)
set(10,7000,37100,0)
set(10,7000,31500,0)
set(26,9100,30800,180)
set(10,7000,25900,0)
set(26,7000,28700,180)
set(10,7000,20300,0)
set(10,7000,14700,0)
set(10,7000,9100,0)
chk(40,9100,8400,0)r
set(10,7000,3500,0)
set(26,9100,2200,180)
set(14,7000,-1050,90)
set(10,11550,-1050,90)
set(14,16100,-1050,180)
set(10,16100,3500,180)
set(10,16100,9100,180)
set(10,16100,14700,180)
set(26,16100,12500,0)
set(10,16100,20300,180)
set(10,16100,25900,180)
set(10,16100,31500,180)
set(14,16100,36050,0)
set(10,20650,36050,90)
set(10,26250,36050,90)
set(32,23450,36400,-90)
set(10,31850,36050,-90)
set(10,37450,36050,-90)
set(14,42000,36050,-90)
set(14,42000,32550,180)
set(10,37450,32550,-90)
set(23,34650,32550,-90)
chk(40,9100,-42000,0)r
set(23,9100,-8400,180)
set(32,8750,-8400,180)
set(32,9450,-8400,180)
set(10,10150,-4550,90)
set(10,15750,-4550,90)
set(14,20300,-4550,180)
chk(40,33250,-43750,90)r
set(10,20300,0,180)
chk(40,35000,-2800,0)r
set(10,20300,5600,180)
chk(40,55300,3984,0)r
set(10,20300,11200,180)
set(23,20300,14000,180)
chk(40,55300,39900,0)r
set(10,4550,-4550,90)
chk(40,8750,41650,90)r
chk(40,7000,700,0)r
chk(40,16100,700,0)r
chk(40,16100,34300,0)r
chk(40,42000,34300,0)r
chk(40,20300,-2800,0)r
chk(40,1750,-4550,90)r
set(14,0,-4550,90)pt
set(23,25778,14008,180)po
set(10,25778,11208,180)p
set(10,25778,5608,180)p
set(10,25778,8,180)p
